stationName,dataTime,pm10Value,pm25Value,sidoName
길상,2026-04-21 16:00,85,21,인천
삼산,2026-04-21 16:00,81,12,인천
경인항,2026-04-21 16:00,93,14,인천
인천항,2026-04-21 16:00,135,14,인천
인천 신항,2026-04-21 16:00,104,24,인천
인천 북항,2026-04-21 16:00,134,17,인천
인천 남항,2026-04-21 16:00,114,15,인천
소사본동,2026-04-21 16:00,90,15,경기
내동,2026-04-21 16:00,98,21,경기
중2동,2026-04-21 16:00,103,16,경기
오정동,2026-04-21 16:00,104,22,경기
송내대로(중동),2026-04-21 16:00,107,22,경기
석모리,2026-04-21 16:00,106,20,인천
덕적도,2026-04-21 16:00,107,20,인천
백령도,2026-04-21 16:00,70,14,인천
영흥,2026-04-21 16:00,105,20,인천
연평도,2026-04-21 16:00,85,20,인천
울도,2026-04-21 16:00,-,-,인천
내포,2026-04-21 16:00,84,12,충남
금산읍,2026-04-21 16:00,70,24,충남
청양읍,2026-04-21 16:00,96,18,충남
정산면,2026-04-21 16:00,92,19,충남
엄사면,2026-04-21 16:00,91,14,충남
평택당진항,2026-04-21 16:00,110,22,충남
대산항,2026-04-21 16:00,124,19,충남
장항항,2026-04-21 16:00,130,23,충남
평택당진항(당진항),2026-04-21 16:00,93,18,충남
태안항,2026-04-21 16:00,134,24,충남
보령항,2026-04-21 16:00,121,22,충남
조치원읍,2026-04-21 16:00,110,11,세종
아름동,2026-04-21 16:00,97,-,세종
한솔동,2026-04-21 16:00,101,13,세종
부강면,2026-04-21 16:00,105,9,세종
보람동,2026-04-21 16:00,90,18,세종
전의면,2026-04-21 16:00,-,-,세종
중앙동(강원),2026-04-21 16:00,132,13,강원
반곡동(명륜동),2026-04-21 16:00,113,22,강원
문막읍,,,,강원
지정면,2026-04-21 16:00,99,21,강원
주문진읍,2026-04-21 16:00,132,15,강원
옥천동,2026-04-21 16:00,100,13,강원
초당동,2026-04-21 16:00,99,10,강원
천곡동,2026-04-21 16:00,78,15,강원
남양동1,2026-04-21 17:00,78,18,강원
평창읍,2026-04-21 16:00,115,20,강원
북평면,2026-04-21 16:00,126,26,강원
정선읍,2026-04-21 16:00,121,18,강원
간성읍,2026-04-21 16:00,89,23,강원
치악산,2026-04-21 16:00,114,23,강원
횡성읍,2026-04-21 16:00,117,14,강원
상리,2026-04-21 16:00,92,15,강원
양양읍,2026-04-21 16:00,90,21,강원
금호동,2026-04-21 16:00,92,18,강원
갈말읍,2026-04-21 16:00,131,25,강원
홍천읍,2026-04-21 16:00,128,23,강원
영월읍,2026-04-21 10:00,168,26,강원
화천읍,2026-04-21 16:00,-,-,강원
황지동,2026-04-21 16:00,94,12,강원
인제읍,2026-04-21 16:00,184,26,강원
우천면,2026-04-21 16:00,124,27,강원
호암동,2026-04-21 16:00,120,21,충북
칠금동,2026-04-21 16:00,121,26,충북
중앙탑면,2026-04-21 16:00,108,22,충북
살미면,2026-04-21 16:00,95,22,충북
장락동,2026-04-21 16:00,130,20,충북
영천동,2026-04-21 16:00,118,24,충북
청풍면,2026-04-21 16:00,109,17,충북
송학면,2026-04-21 16:00,126,24,충북
오창읍,2026-04-21 16:00,96,13,충북
산남동,2026-04-21 16:00,110,21,충북
오송읍,2026-04-21 16:00,112,28,충북
가덕면,2026-04-21 16:00,101,13,충북
매포읍,2026-04-21 16:00,105,21,충북
단성면,2026-04-21 16:00,121,23,충북
단양읍,2026-04-21 16:00,118,-,충북
청천면,2026-04-21 16:00,98,20,충북
괴산읍,2026-04-21 16:00,107,16,충북
감물면,2026-04-21 16:00,120,26,충북
진천읍,2026-04-21 16:00,111,17,충북
덕산읍,2026-04-21 16:00,108,26,충북
금왕,2026-04-21 16:00,94,16,충북
음성읍,2026-04-21 16:00,111,17,충북
소이면,2026-04-21 16:00,109,24,충북
영동읍,2026-04-21 16:00,89,17,충북
황간면,2026-04-21 16:00,93,17,충북
도안면,2026-04-21 16:00,110,16,충북
증평읍,2026-04-21 16:00,91,17,충북
보은읍,2026-04-21 16:00,94,23,충북
옥천읍,2026-04-21 16:00,99,17,충북
삼천동,2026-04-21 16:00,103,20,전북
팔복동,2026-04-21 16:00,101,11,전북
송천동,2026-04-21 16:00,97,19,전북
서신동,2026-04-21 16:00,84,13,전북
혁신동,2026-04-21 16:00,84,22,전북
여의동,2026-04-21 16:00,97,34,전북
효자동,2026-04-21 16:00,103,9,전북
신풍동(군산),2026-04-21 16:00,126,22,전북
소룡동,2026-04-21 16:00,149,24,전북
사정동,2026-04-21 16:00,113,20,전북
옥산면,2026-04-21 16:00,138,26,전북
비응도동,2026-04-21 16:00,140,28,전북
말도,2026-04-21 16:00,-,-,전북
소룡동2,2026-04-21 16:00,145,36,전북
삼기면,2026-04-21 16:00,76,13,전북
팔봉동,2026-04-21 16:00,92,16,전북
모현동,2026-04-21 16:00,86,13,전북
용동면,2026-04-21 16:00,92,12,전북
함열읍,2026-04-21 16:00,96,13,전북
춘포면,2026-04-21 16:00,138,18,전북
여산면,2026-04-21 16:00,105,19,전북
금마면,2026-04-21 16:00,85,11,전북
연지동,2026-04-21 16:00,91,13,전북
신태인,2026-04-21 16:00,79,13,전북
영파동,2026-04-21 16:00,78,14,전북
죽항동,2026-04-21 16:00,83,19,전북
운봉읍,2026-04-21 16:00,74,10,전북
고창읍,2026-04-21 16:00,130,20,전북
심원면,2026-04-21 16:00,151,29,전북
부안읍,2026-04-21 16:00,138,19,전북
새만금,2026-04-21 16:00,158,27,전북
계화면,2026-04-21 16:00,177,22,전북
요촌동,2026-04-21 16:00,100,20,전북
광활면,2026-04-21 16:00,142,21,전북
고산면,2026-04-21 16:00,101,17,전북
봉동읍,2026-04-21 16:00,109,22,전북
구이면,2026-04-21 16:00,95,19,전북
진안읍,2026-04-21 16:00,74,16,전북
운암면,2026-04-21 16:00,67,19,전북
임실읍,2026-04-21 16:00,76,10,전북
관촌면,2026-04-21 16:00,74,12,전북
무주읍,2026-04-21 16:00,63,16,전북
안성면,2026-04-21 16:00,62,9,전북
순창읍,2026-04-21 16:00,71,9,전북
장수읍,2026-04-21 16:00,2,-,전북
장계면,2026-04-21 16:00,73,11,전북
서천읍,2026-04-21 16:00,105,12,충남
서면,2026-04-21 16:00,118,11,충남
장항읍,2026-04-21 16:00,108,19,충남
청송읍,2026-04-21 16:00,101,16,경북
군산항,2026-04-21 16:00,163,26,전북
신흥,2026-04-21 16:00,105,18,인천
서해,2026-04-21 16:00,129,29,인천
영종,2026-04-21 16:00,96,21,인천
송림,2026-04-21 16:00,120,19,인천
구월동,2026-04-21 16:00,112,20,인천
숭의,2026-04-21 16:00,-,-,인천
석바위,2026-04-21 16:00,101,19,인천
부평역,2026-04-21 16:00,106,24,인천
남동,2026-04-21 16:00,124,21,인천
주안,2026-04-21 16:00,101,15,인천
부평,2026-04-21 16:00,121,17,인천
연희,2026-04-21 16:00,102,12,인천
검단,2026-04-21 16:00,101,17,인천
중봉,2026-04-21 16:00,112,15,인천
계산,2026-04-21 16:00,117,16,인천
효성,2026-04-21 16:00,95,20,인천
임학,2026-04-21 16:00,118,24,인천
고잔,2026-04-21 16:00,101,17,인천
서창,2026-04-21 16:00,95,15,인천
석남,2026-04-21 16:00,111,19,인천
송해,2026-04-21 16:00,88,16,인천
동춘,2026-04-21 16:00,90,11,인천
운서,,,,인천
송현,2026-04-21 16:00,103,20,인천
논현,2026-04-21 16:00,90,16,인천
청라,2026-04-21 16:00,118,21,인천
송도,2026-04-21 16:00,118,14,인천
아암,2026-04-21 16:00,120,17,인천
동막,2026-04-21 16:00,96,15,인천
원당,2026-04-21 16:00,92,16,인천
신정동,2026-04-21 16:00,129,20,울산
덕신리,2026-04-21 16:00,143,20,울산
무거동,2026-04-21 16:00,114,17,울산
효문동,2026-04-21 16:00,157,22,울산
상봉동,2026-04-21 16:00,107,19,경남
대안동,2026-04-21 16:00,120,14,경남
상대동(진주),2026-04-21 16:00,135,17,경남
정촌면,2026-04-21 16:00,111,15,경남
명서동,2026-04-21 16:00,111,18,경남
웅남동,2026-04-21 16:00,98,16,경남
성주동,2026-04-21 16:00,97,15,경남
용지동,2026-04-21 16:00,124,16,경남
반송로,2026-04-21 16:00,106,18,경남
사파동,2026-04-21 16:00,109,12,경남
중구,2026-04-21 16:00,79,16,서울
